model,temperature,strategy,syntax_accuracy,nlu_accuracy,total_instances,syntax_correct,nlu_correct
deepseek-v3.1,0.0,zero_shot,0.95,0.5625,160,152,90
deepseek-v3.1,0.0,one_shot,0.9375,0.575,160,150,92
deepseek-v3.1,0.0,few_shot,0.96875,0.54375,160,155,87
deepseek-v3.1,0.0,zero_shot_cot,0.975,0.5375,160,156,86
gemini-2.5-flash,0.0,zero_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.0,one_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.0,few_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.0,zero_shot_cot,0.975,0.5375,160,156,86
gemini-2.5-flash-lite,0.0,zero_shot,0.88125,0.60625,160,141,97
gemini-2.5-flash-lite,0.0,one_shot,0.90625,0.59375,160,145,95
gemini-2.5-flash-lite,0.0,few_shot,0.8125,0.55,160,130,88
gemini-2.5-flash-lite,0.0,zero_shot_cot,0.91875,0.54375,160,147,87
gemini-2.5-pro,0.0,zero_shot,0.99375,0.51875,160,159,83
gemini-2.5-pro,0.0,one_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,0.0,few_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,0.0,zero_shot_cot,0.975,0.5375,160,156,86
gemma-3-27b-it,0.0,zero_shot,0.69375,0.45625,160,111,73
gemma-3-27b-it,0.0,one_shot,0.7375,0.4625,160,118,74
gemma-3-27b-it,0.0,few_shot,0.63125,0.39375,160,101,63
gemma-3-27b-it,0.0,zero_shot_cot,0.7,0.4375,160,112,70
glm-4.6,0.0,zero_shot,0.98125,0.53125,160,157,85
glm-4.6,0.0,one_shot,0.9875,0.525,160,158,84
glm-4.6,0.0,few_shot,1.0,0.5125,160,160,82
glm-4.6,0.0,zero_shot_cot,0.98125,0.53125,160,157,85
gpt-oss-20b,0.0,zero_shot,0.9875,0.525,160,158,84
gpt-oss-20b,0.0,one_shot,0.99375,0.51875,160,159,83
gpt-oss-20b,0.0,few_shot,1.0,0.5125,160,160,82
gpt-oss-20b,0.0,zero_shot_cot,0.94375,0.51875,160,151,83
kimi-k2-instruct,0.0,zero_shot,0.95,0.5625,160,152,90
kimi-k2-instruct,0.0,one_shot,0.94375,0.56875,160,151,91
kimi-k2-instruct,0.0,few_shot,0.95,0.55,160,152,88
kimi-k2-instruct,0.0,zero_shot_cot,0.9625,0.5375,160,154,86
llama-3.1-8b-instruct,0.0,zero_shot,0.6875,0.525,160,110,84
llama-3.1-8b-instruct,0.0,one_shot,0.74375,0.54375,160,119,87
llama-3.1-8b-instruct,0.0,few_shot,0.6,0.4125,160,96,66
llama-3.1-8b-instruct,0.0,zero_shot_cot,0.525,0.7625,160,84,122
llama-3.2-1b-instruct,0.0,zero_shot,0.53125,0.81875,160,85,131
llama-3.2-1b-instruct,0.0,one_shot,0.55625,0.73125,160,89,117
llama-3.2-1b-instruct,0.0,few_shot,0.46875,0.24375,160,75,39
llama-3.2-1b-instruct,0.0,zero_shot_cot,0.6125,0.6,160,98,96
llama-3.2-3b-instruct,0.0,zero_shot,0.625,0.7375,160,100,118
llama-3.2-3b-instruct,0.0,one_shot,0.61875,0.71875,160,99,115
llama-3.2-3b-instruct,0.0,few_shot,0.675,0.65,160,108,104
llama-3.2-3b-instruct,0.0,zero_shot_cot,0.525,0.7625,160,84,122
llama-3.3-70b-instruct,0.0,zero_shot,0.7,0.7125,160,112,114
llama-3.3-70b-instruct,0.0,one_shot,0.78125,0.68125,160,125,109
llama-3.3-70b-instruct,0.0,few_shot,0.75,0.5125,160,120,82
llama-3.3-70b-instruct,0.0,zero_shot_cot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.0,zero_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.0,one_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.0,few_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.0,zero_shot_cot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-instruct,0.0,zero_shot,0.7625,0.4875,160,122,78
qwen3-next-80b-a3b-instruct,0.0,one_shot,0.73125,0.46875,160,117,75
qwen3-next-80b-a3b-instruct,0.0,few_shot,0.68125,0.38125,160,109,61
qwen3-next-80b-a3b-instruct,0.0,zero_shot_cot,0.9875,0.525,160,158,84
qwen3-next-80b-a3b-thinking,0.0,zero_shot,0.84375,0.56875,160,135,91
qwen3-next-80b-a3b-thinking,0.0,one_shot,0.70625,0.63125,160,113,101
qwen3-next-80b-a3b-thinking,0.0,few_shot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-thinking,0.0,zero_shot_cot,0.81875,0.59375,160,131,95
deepseek-v3.1,0.5,zero_shot,0.9625,0.55,160,154,88
deepseek-v3.1,0.5,one_shot,0.90625,0.59375,160,145,95
deepseek-v3.1,0.5,few_shot,0.9625,0.55,160,154,88
deepseek-v3.1,0.5,zero_shot_cot,0.9875,0.525,160,158,84
gemini-2.5-flash,0.5,zero_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.5,one_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.5,few_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,0.5,zero_shot_cot,0.9875,0.525,160,158,84
gemini-2.5-flash-lite,0.5,zero_shot,0.89375,0.60625,160,143,97
gemini-2.5-flash-lite,0.5,one_shot,0.9125,0.5875,160,146,94
gemini-2.5-flash-lite,0.5,few_shot,0.80625,0.53125,160,129,85
gemini-2.5-flash-lite,0.5,zero_shot_cot,0.9625,0.55,160,154,88
gemini-2.5-pro,0.5,zero_shot,0.99375,0.51875,160,159,83
gemini-2.5-pro,0.5,one_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,0.5,few_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,0.5,zero_shot_cot,0.98125,0.53125,160,157,85
gemma-3-27b-it,0.5,zero_shot,0.69375,0.45625,160,111,73
gemma-3-27b-it,0.5,one_shot,0.74375,0.46875,160,119,75
gemma-3-27b-it,0.5,few_shot,0.625,0.4,160,100,64
gemma-3-27b-it,0.5,zero_shot_cot,0.68125,0.43125,160,109,69
glm-4.6,0.5,zero_shot,0.9875,0.525,160,158,84
glm-4.6,0.5,one_shot,0.9875,0.525,160,158,84
glm-4.6,0.5,few_shot,1.0,0.5125,160,160,82
glm-4.6,0.5,zero_shot_cot,0.9875,0.525,160,158,84
gpt-oss-20b,0.5,zero_shot,1.0,0.5125,160,160,82
gpt-oss-20b,0.5,one_shot,1.0,0.5125,160,160,82
gpt-oss-20b,0.5,few_shot,1.0,0.5125,160,160,82
gpt-oss-20b,0.5,zero_shot_cot,0.9875,0.525,160,158,84
kimi-k2-instruct,0.5,zero_shot,0.95,0.5625,160,152,90
kimi-k2-instruct,0.5,one_shot,0.94375,0.56875,160,151,91
kimi-k2-instruct,0.5,few_shot,0.96875,0.53125,160,155,85
kimi-k2-instruct,0.5,zero_shot_cot,0.9875,0.525,160,158,84
llama-3.1-8b-instruct,0.5,zero_shot,0.6875,0.55,160,110,88
llama-3.1-8b-instruct,0.5,one_shot,0.73125,0.58125,160,117,93
llama-3.1-8b-instruct,0.5,few_shot,0.625,0.425,160,100,68
llama-3.1-8b-instruct,0.5,zero_shot_cot,0.525,0.7625,160,84,122
llama-3.2-1b-instruct,0.5,zero_shot,0.54375,0.81875,160,87,131
llama-3.2-1b-instruct,0.5,one_shot,0.5125,0.65,160,82,104
llama-3.2-1b-instruct,0.5,few_shot,0.475,0.25,160,76,40
llama-3.2-1b-instruct,0.5,zero_shot_cot,0.5,0.7375,160,80,118
llama-3.2-3b-instruct,0.5,zero_shot,0.59375,0.75625,160,95,121
llama-3.2-3b-instruct,0.5,one_shot,0.5875,0.725,160,94,116
llama-3.2-3b-instruct,0.5,few_shot,0.65,0.7125,160,104,114
llama-3.2-3b-instruct,0.5,zero_shot_cot,0.525,0.7625,160,84,122
llama-3.3-70b-instruct,0.5,zero_shot,0.7,0.7,160,112,112
llama-3.3-70b-instruct,0.5,one_shot,0.7625,0.6875,160,122,110
llama-3.3-70b-instruct,0.5,few_shot,0.7625,0.525,160,122,84
llama-3.3-70b-instruct,0.5,zero_shot_cot,0.5375,0.7625,160,86,122
mixtral-8x22b-instruct,0.5,zero_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.5,one_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.5,few_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,0.5,zero_shot_cot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-instruct,0.5,zero_shot,0.775,0.5,160,124,80
qwen3-next-80b-a3b-instruct,0.5,one_shot,0.73125,0.46875,160,117,75
qwen3-next-80b-a3b-instruct,0.5,few_shot,0.6875,0.3875,160,110,62
qwen3-next-80b-a3b-instruct,0.5,zero_shot_cot,0.9875,0.525,160,158,84
qwen3-next-80b-a3b-thinking,0.5,zero_shot,0.86875,0.58125,160,139,93
qwen3-next-80b-a3b-thinking,0.5,one_shot,0.65625,0.65625,160,105,105
qwen3-next-80b-a3b-thinking,0.5,few_shot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-thinking,0.5,zero_shot_cot,0.90625,0.56875,160,145,91
deepseek-v3.1,1.0,zero_shot,0.9875,0.525,160,158,84
deepseek-v3.1,1.0,one_shot,0.9,0.5875,160,144,94
deepseek-v3.1,1.0,few_shot,0.96875,0.54375,160,155,87
deepseek-v3.1,1.0,zero_shot_cot,0.99375,0.51875,160,159,83
gemini-2.5-flash,1.0,zero_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,1.0,one_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,1.0,few_shot,1.0,0.5125,160,160,82
gemini-2.5-flash,1.0,zero_shot_cot,0.9875,0.525,160,158,84
gemini-2.5-flash-lite,1.0,zero_shot,0.875,0.6125,160,140,98
gemini-2.5-flash-lite,1.0,one_shot,0.9,0.6,160,144,96
gemini-2.5-flash-lite,1.0,few_shot,0.83125,0.54375,160,133,87
gemini-2.5-flash-lite,1.0,zero_shot_cot,0.96875,0.54375,160,155,87
gemini-2.5-pro,1.0,zero_shot,0.9875,0.525,160,158,84
gemini-2.5-pro,1.0,one_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,1.0,few_shot,1.0,0.5125,160,160,82
gemini-2.5-pro,1.0,zero_shot_cot,0.9875,0.525,160,158,84
gemma-3-27b-it,1.0,zero_shot,0.69375,0.45625,160,111,73
gemma-3-27b-it,1.0,one_shot,0.725,0.4625,160,116,74
gemma-3-27b-it,1.0,few_shot,0.625,0.4,160,100,64
gemma-3-27b-it,1.0,zero_shot_cot,0.65625,0.40625,160,105,65
glm-4.6,1.0,zero_shot,0.9875,0.525,160,158,84
glm-4.6,1.0,one_shot,0.9875,0.525,160,158,84
glm-4.6,1.0,few_shot,1.0,0.5125,160,160,82
glm-4.6,1.0,zero_shot_cot,0.98125,0.53125,160,157,85
gpt-oss-20b,1.0,zero_shot,1.0,0.5125,160,160,82
gpt-oss-20b,1.0,one_shot,1.0,0.5125,160,160,82
gpt-oss-20b,1.0,few_shot,1.0,0.5125,160,160,82
gpt-oss-20b,1.0,zero_shot_cot,0.9875,0.525,160,158,84
kimi-k2-instruct,1.0,zero_shot,0.9625,0.55,160,154,88
kimi-k2-instruct,1.0,one_shot,0.9375,0.575,160,150,92
kimi-k2-instruct,1.0,few_shot,0.975,0.525,160,156,84
kimi-k2-instruct,1.0,zero_shot_cot,0.9875,0.525,160,158,84
llama-3.1-8b-instruct,1.0,zero_shot,0.675,0.525,160,108,84
llama-3.1-8b-instruct,1.0,one_shot,0.75625,0.56875,160,121,91
llama-3.1-8b-instruct,1.0,few_shot,0.61875,0.40625,160,99,65
llama-3.1-8b-instruct,1.0,zero_shot_cot,0.54375,0.75625,160,87,121
llama-3.2-1b-instruct,1.0,zero_shot,0.49375,0.78125,160,79,125
llama-3.2-1b-instruct,1.0,one_shot,0.5,0.625,160,80,100
llama-3.2-1b-instruct,1.0,few_shot,0.475,0.3125,160,76,50
llama-3.2-1b-instruct,1.0,zero_shot_cot,0.55625,0.68125,160,89,109
llama-3.2-3b-instruct,1.0,zero_shot,0.55,0.75,160,88,120
llama-3.2-3b-instruct,1.0,one_shot,0.5875,0.75,160,94,120
llama-3.2-3b-instruct,1.0,few_shot,0.64375,0.74375,160,103,119
llama-3.2-3b-instruct,1.0,zero_shot_cot,0.51875,0.76875,160,83,123
llama-3.3-70b-instruct,1.0,zero_shot,0.69375,0.71875,160,111,115
llama-3.3-70b-instruct,1.0,one_shot,0.7625,0.7,160,122,112
llama-3.3-70b-instruct,1.0,few_shot,0.75625,0.51875,160,121,83
llama-3.3-70b-instruct,1.0,zero_shot_cot,0.65,0.675,160,104,108
mixtral-8x22b-instruct,1.0,zero_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,1.0,one_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,1.0,few_shot,0.525,0.7625,160,84,122
mixtral-8x22b-instruct,1.0,zero_shot_cot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-instruct,1.0,zero_shot,0.76875,0.49375,160,123,79
qwen3-next-80b-a3b-instruct,1.0,one_shot,0.7375,0.4625,160,118,74
qwen3-next-80b-a3b-instruct,1.0,few_shot,0.6875,0.3875,160,110,62
qwen3-next-80b-a3b-instruct,1.0,zero_shot_cot,0.9875,0.525,160,158,84
qwen3-next-80b-a3b-thinking,1.0,zero_shot,0.81875,0.59375,160,131,95
qwen3-next-80b-a3b-thinking,1.0,one_shot,0.60625,0.69375,160,97,111
qwen3-next-80b-a3b-thinking,1.0,few_shot,0.525,0.7625,160,84,122
qwen3-next-80b-a3b-thinking,1.0,zero_shot_cot,0.91875,0.56875,160,147,91
